"source","target","type","properties"
"34","405","part_of","{""id"":601,""type"":""part_of"",""start"":34,""end"":405,""properties"":{}}"
"35","349","located_in","{""id"":608,""type"":""located_in"",""start"":35,""end"":349,""properties"":{}}"
"37","148","position_held","{""id"":268,""type"":""position_held"",""start"":37,""end"":148,""properties"":{}}"
"37","151","studies","{""id"":42,""type"":""studies"",""start"":37,""end"":151,""properties"":{}}"
"37","138","studies","{""id"":41,""type"":""studies"",""start"":37,""end"":138,""properties"":{}}"
"37","55","studies","{""id"":36,""type"":""studies"",""start"":37,""end"":55,""properties"":{}}"
"37","12","studies","{""id"":34,""type"":""studies"",""start"":37,""end"":12,""properties"":{}}"
"37","57","studies","{""id"":37,""type"":""studies"",""start"":37,""end"":57,""properties"":{}}"
"37","189","author","{""id"":610,""type"":""author"",""start"":37,""end"":189,""properties"":{}}"
"37","38","collaborated_with","{""id"":613,""type"":""collaborated_with"",""start"":37,""end"":38,""properties"":{}}"
"37","133","collaborated_with","{""id"":612,""type"":""collaborated_with"",""start"":37,""end"":133,""properties"":{}}"
"38","132","author","{""id"":155,""type"":""author"",""start"":38,""end"":132,""properties"":{}}"
"38","133","collaborated_with","{""id"":614,""type"":""collaborated_with"",""start"":38,""end"":133,""properties"":{}}"
"40","36","member_of","{""id"":615,""type"":""member_of"",""start"":40,""end"":36,""properties"":{}}"
"41","36","member_of","{""id"":616,""type"":""member_of"",""start"":41,""end"":36,""properties"":{}}"
"42","36","member_of","{""id"":617,""type"":""member_of"",""start"":42,""end"":36,""properties"":{}}"
"43","36","member_of","{""id"":618,""type"":""member_of"",""start"":43,""end"":36,""properties"":{}}"
"46","50","member_of","{""id"":623,""type"":""member_of"",""start"":46,""end"":50,""properties"":{}}"
"46","115","collaborated_with","{""id"":622,""type"":""collaborated_with"",""start"":46,""end"":115,""properties"":{}}"
"46","467","field_of_work","{""id"":624,""type"":""field_of_work"",""start"":46,""end"":467,""properties"":{}}"
"48","325","part_of","{""id"":625,""type"":""part_of"",""start"":48,""end"":325,""properties"":{}}"
"53","31","employer","{""id"":207,""type"":""employer"",""start"":53,""end"":31,""properties"":{}}"
"53","481","part_of","{""id"":629,""type"":""part_of"",""start"":53,""end"":481,""properties"":{}}"
"53","114","member_of","{""id"":628,""type"":""member_of"",""start"":53,""end"":114,""properties"":{}}"
"56","67","collaborated_with","{""id"":632,""type"":""collaborated_with"",""start"":56,""end"":67,""properties"":{}}"
"57","188","employer","{""id"":209,""type"":""employer"",""start"":57,""end"":188,""properties"":{}}"
"57","77","employer","{""id"":210,""type"":""employer"",""start"":57,""end"":77,""properties"":{}}"
"57","175","employer","{""id"":208,""type"":""employer"",""start"":57,""end"":175,""properties"":{}}"
"57","191","member_of","{""id"":635,""type"":""member_of"",""start"":57,""end"":191,""properties"":{""notes"":""1982-1989""}}"
"57","184","position_held","{""id"":636,""type"":""position_held"",""start"":57,""end"":184,""properties"":{}}"
"57","151","collaborated_with","{""id"":633,""type"":""collaborated_with"",""start"":57,""end"":151,""properties"":{}}"
"58","60","employer","{""id"":211,""type"":""employer"",""start"":58,""end"":60,""properties"":{}}"
"58","59","position_held","{""id"":10,""type"":""position_held"",""start"":58,""end"":59,""properties"":{}}"
"60","480","subsidiary","{""id"":639,""type"":""subsidiary"",""start"":60,""end"":480,""properties"":{}}"
"61","480","employer","{""id"":212,""type"":""employer"",""start"":61,""end"":480,""properties"":{}}"
"61","59","position_held","{""id"":11,""type"":""position_held"",""start"":61,""end"":59,""properties"":{}}"
"62","159","studies","{""id"":45,""type"":""studies"",""start"":62,""end"":159,""properties"":{}}"
"62","153","founded_by","{""id"":647,""type"":""founded_by"",""start"":62,""end"":153,""properties"":{}}"
"62","272","collaborated_with","{""id"":643,""type"":""collaborated_with"",""start"":62,""end"":272,""properties"":{}}"
"62","419","collaborated_with","{""id"":644,""type"":""collaborated_with"",""start"":62,""end"":419,""properties"":{}}"
"62","253","field_of_work","{""id"":645,""type"":""field_of_work"",""start"":62,""end"":253,""properties"":{}}"
"62","264","has_part","{""id"":646,""type"":""has_part"",""start"":62,""end"":264,""properties"":{}}"
"65","407","located_in","{""id"":654,""type"":""located_in"",""start"":65,""end"":407,""properties"":{}}"
"66","158","studies","{""id"":43,""type"":""studies"",""start"":66,""end"":158,""properties"":{}}"
"67","119","point_in_time","{""id"":272,""type"":""point_in_time"",""start"":67,""end"":119,""properties"":{}}"
"67","467","main_subject","{""id"":656,""type"":""main_subject"",""start"":67,""end"":467,""properties"":{}}"
"67","411","founded_by","{""id"":659,""type"":""founded_by"",""start"":67,""end"":411,""properties"":{}}"
"67","10","founded_by","{""id"":658,""type"":""founded_by"",""start"":67,""end"":10,""properties"":{}}"
"67","47","studies","{""id"":657,""type"":""studies"",""start"":67,""end"":47,""properties"":{}}"
"67","425","studies","{""id"":655,""type"":""studies"",""start"":67,""end"":425,""properties"":{}}"
"73","74","has_part","{""id"":661,""type"":""has_part"",""start"":73,""end"":74,""properties"":{""type"":""has part""}}"
"73","83","has_part","{""id"":662,""type"":""has_part"",""start"":73,""end"":83,""properties"":{""type"":""has part""}}"
"73","84","has_part","{""id"":663,""type"":""has_part"",""start"":73,""end"":84,""properties"":{""type"":""has part""}}"
"74","319","has_part","{""id"":664,""type"":""has_part"",""start"":74,""end"":319,""properties"":{}}"
"75","289","position_held","{""id"":267,""type"":""position_held"",""start"":75,""end"":289,""properties"":{}}"
"75","207","employer","{""id"":213,""type"":""employer"",""start"":75,""end"":207,""properties"":{}}"
"75","462","employer","{""id"":214,""type"":""employer"",""start"":75,""end"":462,""properties"":{}}"
"75","196","developer","{""id"":123,""type"":""developer"",""start"":75,""end"":196,""properties"":{}}"
"75","143","has_part","{""id"":62,""type"":""has_part"",""start"":75,""end"":143,""properties"":{}}"
