"source","target","type","properties"
"201","75","collaborated_with","{""id"":127,""type"":""collaborated_with"",""start"":201,""end"":75,""properties"":{}}"
"203","205","employer","{""id"":233,""type"":""employer"",""start"":203,""end"":205,""properties"":{}}"
"206","225","instance_of","{""id"":812,""type"":""instance_of"",""start"":206,""end"":225,""properties"":{}}"
"207","472","developer","{""id"":279,""type"":""developer"",""start"":207,""end"":472,""properties"":{}}"
"207","283","studies","{""id"":148,""type"":""studies"",""start"":207,""end"":283,""properties"":{}}"
"207","143","developer","{""id"":56,""type"":""developer"",""start"":207,""end"":143,""properties"":{}}"
"209","208","author","{""id"":161,""type"":""author"",""start"":209,""end"":208,""properties"":{}}"
"210","82","main_subject","{""id"":814,""type"":""main_subject"",""start"":210,""end"":82,""properties"":{}}"
"210","212","founded_by","{""id"":815,""type"":""founded_by"",""start"":210,""end"":212,""properties"":{}}"
"211","212","subsidiary","{""id"":820,""type"":""subsidiary"",""start"":211,""end"":212,""properties"":{""notes"":""""}}"
"211","377","has_part","{""id"":818,""type"":""has_part"",""start"":211,""end"":377,""properties"":{}}"
"211","13","has_part","{""id"":819,""type"":""has_part"",""start"":211,""end"":13,""properties"":{}}"
"214","88","developer","{""id"":128,""type"":""developer"",""start"":214,""end"":88,""properties"":{}}"
"214","14","facet_of","{""id"":59,""type"":""facet_of"",""start"":214,""end"":14,""properties"":{}}"
"215","127","position_held","{""id"":263,""type"":""position_held"",""start"":215,""end"":127,""properties"":{}}"
"215","26","employer","{""id"":234,""type"":""employer"",""start"":215,""end"":26,""properties"":{}}"
"215","82","studies","{""id"":823,""type"":""studies"",""start"":215,""end"":82,""properties"":{}}"
"215","210","has_part","{""id"":822,""type"":""has_part"",""start"":215,""end"":210,""properties"":{}}"
"216","127","position_held","{""id"":262,""type"":""position_held"",""start"":216,""end"":127,""properties"":{}}"
"216","34","employer","{""id"":235,""type"":""employer"",""start"":216,""end"":34,""properties"":{}}"
"216","215","collaborated_with","{""id"":824,""type"":""collaborated_with"",""start"":216,""end"":215,""properties"":{}}"
"218","114","developer","{""id"":826,""type"":""developer"",""start"":218,""end"":114,""properties"":{}}"
"223","148","position_held","{""id"":269,""type"":""position_held"",""start"":223,""end"":148,""properties"":{}}"
"223","71","employer","{""id"":236,""type"":""employer"",""start"":223,""end"":71,""properties"":{}}"
"223","99","member_of","{""id"":832,""type"":""member_of"",""start"":223,""end"":99,""properties"":{}}"
"223","425","field_of_work","{""id"":835,""type"":""field_of_work"",""start"":223,""end"":425,""properties"":{""notes"":""""}}"
"224","206","developer","{""id"":836,""type"":""developer"",""start"":224,""end"":206,""properties"":{}}"
"225","194","instance_of","{""id"":837,""type"":""instance_of"",""start"":225,""end"":194,""properties"":{}}"
"226","229","position_held","{""id"":130,""type"":""position_held"",""start"":226,""end"":229,""properties"":{}}"
"226","88","member_of","{""id"":129,""type"":""member_of"",""start"":226,""end"":88,""properties"":{}}"
"228","227","follows","{""id"":66,""type"":""follows"",""start"":228,""end"":227,""properties"":{}}"
"234","259","followed","{""id"":22,""type"":""followed"",""start"":234,""end"":259,""properties"":{}}"
"234","240","part_of","{""id"":12,""type"":""part_of"",""start"":234,""end"":240,""properties"":{}}"
"234","188","employer","{""id"":237,""type"":""employer"",""start"":234,""end"":188,""properties"":{}}"
"234","88","collaborated_with","{""id"":133,""type"":""collaborated_with"",""start"":234,""end"":88,""properties"":{}}"
"234","239","position_held","{""id"":132,""type"":""position_held"",""start"":234,""end"":239,""properties"":{""end_date"":""1961"",""start_date"":""1953""}}"
"238","188","employer","{""id"":238,""type"":""employer"",""start"":238,""end"":188,""properties"":{}}"
"238","241","position_held","{""id"":844,""type"":""position_held"",""start"":238,""end"":241,""properties"":{""notes"":""""}}"
"249","204","facet_of","{""id"":845,""type"":""facet_of"",""start"":249,""end"":204,""properties"":{}}"
"249","467","instance_of","{""id"":847,""type"":""instance_of"",""start"":249,""end"":467,""properties"":{}}"
"249","156","facet_of","{""id"":846,""type"":""facet_of"",""start"":249,""end"":156,""properties"":{}}"
"251","289","position_held","{""id"":264,""type"":""position_held"",""start"":251,""end"":289,""properties"":{}}"
"251","26","employer","{""id"":239,""type"":""employer"",""start"":251,""end"":26,""properties"":{}}"
"251","16","collaborated_with","{""id"":851,""type"":""collaborated_with"",""start"":251,""end"":16,""properties"":{""notes"":""vouched for ED when Wilson asked""}}"
"251","215","collaborated_with","{""id"":850,""type"":""collaborated_with"",""start"":251,""end"":215,""properties"":{}}"
"251","48","author","{""id"":849,""type"":""author"",""start"":251,""end"":48,""properties"":{}}"
"251","99","member_of","{""id"":848,""type"":""member_of"",""start"":251,""end"":99,""properties"":{}}"
"252","253","instance_of","{""id"":853,""type"":""instance_of"",""start"":252,""end"":253,""properties"":{""notes"":""""}}"
"252","137","located_in","{""id"":852,""type"":""located_in"",""start"":252,""end"":137,""properties"":{}}"
"254","255","point_in_time","{""id"":856,""type"":""point_in_time"",""start"":254,""end"":255,""properties"":{""notes"":""""}}"
"254","253","instance_of","{""id"":855,""type"":""instance_of"",""start"":254,""end"":253,""properties"":{}}"
"254","276","instance_of","{""id"":854,""type"":""instance_of"",""start"":254,""end"":276,""properties"":{}}"
"256","472","has_part","{""id"":282,""type"":""has_part"",""start"":256,""end"":472,""properties"":{}}"
"256","435","studies","{""id"":281,""type"":""studies"",""start"":256,""end"":435,""properties"":{}}"
"256","78","founded_by","{""id"":277,""type"":""founded_by"",""start"":256,""end"":78,""properties"":{}}"
"257","234","founded_by","{""id"":276,""type"":""founded_by"",""start"":257,""end"":234,""properties"":{}}"
"260","407","located_in","{""id"":858,""type"":""located_in"",""start"":260,""end"":407,""properties"":{}}"
"261","417","instance_of","{""id"":286,""type"":""instance_of"",""start"":261,""end"":417,""properties"":{}}"
"264","265","developer","{""id"":5,""type"":""developer"",""start"":264,""end"":265,""properties"":{}}"
"264","253","instance_of","{""id"":859,""type"":""instance_of"",""start"":264,""end"":253,""properties"":{}}"
"265","312","follows","{""id"":303,""type"":""follows"",""start"":265,""end"":312,""properties"":{}}"
"265","290","follows","{""id"":301,""type"":""follows"",""start"":265,""end"":290,""properties"":{}}"
"266","314","employer","{""id"":308,""type"":""employer"",""start"":266,""end"":314,""properties"":{""start_date"":""1997""}}"
"266","313","employer","{""id"":306,""type"":""employer"",""start"":266,""end"":313,""properties"":{""start_date"":""1997""}}"
"266","309","author","{""id"":298,""type"":""author"",""start"":266,""end"":309,""properties"":{}}"
"266","300","author","{""id"":297,""type"":""author"",""start"":266,""end"":300,""properties"":{}}"
"266","292","author","{""id"":296,""type"":""author"",""start"":266,""end"":292,""properties"":{}}"
"266","290","employer","{""id"":295,""type"":""employer"",""start"":266,""end"":290,""properties"":{}}"
"266","280","field_of_work","{""id"":294,""type"":""field_of_work"",""start"":266,""end"":280,""properties"":{}}"
"266","288","employer","{""id"":293,""type"":""employer"",""start"":266,""end"":288,""properties"":{""end_date"":""1971"",""start_date"":""1964""}}"
"266","267","employer","{""id"":292,""type"":""employer"",""start"":266,""end"":267,""properties"":{""end_date"":""1964"",""start_date"":""1961""}}"
"266","211","employer","{""id"":290,""type"":""employer"",""start"":266,""end"":211,""properties"":{""end_date"":""1961"",""start_date"":""1960""}}"
"269","99","also_known_as","{""id"":24,""type"":""also_known_as"",""start"":269,""end"":99,""properties"":{}}"
"269","207","facet_of","{""id"":151,""type"":""facet_of"",""start"":269,""end"":207,""properties"":{}}"
"270","279","collaborated_with","{""id"":145,""type"":""collaborated_with"",""start"":270,""end"":279,""properties"":{}}"
"270","274","field_of_work","{""id"":144,""type"":""field_of_work"",""start"":270,""end"":274,""properties"":{}}"
"271","272","developer","{""id"":7,""type"":""developer"",""start"":271,""end"":272,""properties"":{}}"
"271","273","developer","{""id"":6,""type"":""developer"",""start"":271,""end"":273,""properties"":{}}"
"272","265","follows","{""id"":305,""type"":""follows"",""start"":272,""end"":265,""properties"":{}}"
"273","211","subsidiary","{""id"":864,""type"":""subsidiary"",""start"":273,""end"":211,""properties"":{}}"
"275","319","subsidiary","{""id"":100,""type"":""subsidiary"",""start"":275,""end"":319,""properties"":{}}"
"275","497","instance_of","{""id"":866,""type"":""instance_of"",""start"":275,""end"":497,""properties"":{""notes"":""""}}"
"275","495","founded_by","{""id"":865,""type"":""founded_by"",""start"":275,""end"":495,""properties"":{""notes"":""""}}"
"278","319","employer","{""id"":240,""type"":""employer"",""start"":278,""end"":319,""properties"":{}}"
"278","275","has_part","{""id"":867,""type"":""has_part"",""start"":278,""end"":275,""properties"":{}}"
"286","62","subsidiary","{""id"":91,""type"":""subsidiary"",""start"":286,""end"":62,""properties"":{}}"
"286","62","follows","{""id"":65,""type"":""follows"",""start"":286,""end"":62,""properties"":{}}"
"287","286","subsidiary","{""id"":97,""type"":""subsidiary"",""start"":287,""end"":286,""properties"":{}}"
"287","286","follows","{""id"":67,""type"":""follows"",""start"":287,""end"":286,""properties"":{}}"
"287","206","developer","{""id"":872,""type"":""developer"",""start"":287,""end"":206,""properties"":{}}"
"290","312","collaborated_with","{""id"":304,""type"":""collaborated_with"",""start"":290,""end"":312,""properties"":{}}"
"293","294","employer","{""id"":241,""type"":""employer"",""start"":293,""end"":294,""properties"":{}}"
"294","182","located_in","{""id"":877,""type"":""located_in"",""start"":294,""end"":182,""properties"":{}}"
"296","492","developer","{""id"":74,""type"":""developer"",""start"":296,""end"":492,""properties"":{}}"
"296","297","publication_date","{""id"":880,""type"":""publication_date"",""start"":296,""end"":297,""properties"":{""notes"":""""}}"
"298","299","part_of","{""id"":881,""type"":""part_of"",""start"":298,""end"":299,""properties"":{""notes"":""""}}"
"299","298","subsidiary","{""id"":98,""type"":""subsidiary"",""start"":299,""end"":298,""properties"":{}}"
"299","161","subsidiary","{""id"":90,""type"":""subsidiary"",""start"":299,""end"":161,""properties"":{}}"
"301","148","position_held","{""id"":271,""type"":""position_held"",""start"":301,""end"":148,""properties"":{}}"
"301","205","employer","{""id"":242,""type"":""employer"",""start"":301,""end"":205,""properties"":{}}"
"302","277","influenced_by","{""id"":885,""type"":""influenced_by"",""start"":302,""end"":277,""properties"":{}}"
"302","303","instance_of","{""id"":886,""type"":""instance_of"",""start"":302,""end"":303,""properties"":{""notes"":""""}}"
"303","137","located_in","{""id"":887,""type"":""located_in"",""start"":303,""end"":137,""properties"":{}}"
"304","519","follows","{""id"":70,""type"":""follows"",""start"":304,""end"":519,""properties"":{}}"
"304","302","field_of_work","{""id"":888,""type"":""field_of_work"",""start"":304,""end"":302,""properties"":{""notes"":""""}}"
"305","308","subsidiary","{""id"":891,""type"":""subsidiary"",""start"":305,""end"":308,""properties"":{}}"
"307","253","instance_of","{""id"":893,""type"":""instance_of"",""start"":307,""end"":253,""properties"":{}}"
"307","137","located_in","{""id"":892,""type"":""located_in"",""start"":307,""end"":137,""properties"":{}}"
"308","267","facet_of","{""id"":291,""type"":""facet_of"",""start"":308,""end"":267,""properties"":{}}"
"308","206","developer","{""id"":894,""type"":""developer"",""start"":308,""end"":206,""properties"":{}}"
"313","309","has_part","{""id"":307,""type"":""has_part"",""start"":313,""end"":309,""properties"":{}}"
"314","313","collaborated_with","{""id"":309,""type"":""collaborated_with"",""start"":314,""end"":313,""properties"":{}}"
"319","142","has_part","{""id"":46,""type"":""has_part"",""start"":319,""end"":142,""properties"":{}}"
"319","480","has_part","{""id"":898,""type"":""has_part"",""start"":319,""end"":480,""properties"":{""type"":""has part""}}"
"337","338","conflict","{""id"":906,""type"":""conflict"",""start"":337,""end"":338,""properties"":{""notes"":""""}}"
"338","339","point_in_time","{""id"":907,""type"":""point_in_time"",""start"":338,""end"":339,""properties"":{""notes"":""""}}"
"343","342","developer","{""id"":8,""type"":""developer"",""start"":343,""end"":342,""properties"":{}}"
"343","194","instance_of","{""id"":908,""type"":""instance_of"",""start"":343,""end"":194,""properties"":{}}"
"344","342","developer","{""id"":9,""type"":""developer"",""start"":344,""end"":342,""properties"":{}}"
"344","194","instance_of","{""id"":910,""type"":""instance_of"",""start"":344,""end"":194,""properties"":{}}"
"345","35","main_subject","{""id"":912,""type"":""main_subject"",""start"":345,""end"":35,""properties"":{}}"
"349","407","located_in","{""id"":914,""type"":""located_in"",""start"":349,""end"":407,""properties"":{}}"
"357","355","instance_of","{""id"":915,""type"":""instance_of"",""start"":357,""end"":355,""properties"":{""notes"":""""}}"
"361","19","studies","{""id"":35,""type"":""studies"",""start"":361,""end"":19,""properties"":{}}"
"361","501","participant","{""id"":917,""type"":""participant"",""start"":361,""end"":501,""properties"":{""notes"":""""}}"
"361","16","collaborated_with","{""id"":916,""type"":""collaborated_with"",""start"":361,""end"":16,""properties"":{}}"
"365","81","member_of","{""id"":919,""type"":""member_of"",""start"":365,""end"":81,""properties"":{}}"
"365","116","main_subject","{""id"":921,""type"":""main_subject"",""start"":365,""end"":116,""properties"":{""notes"":""""}}"
"365","251","collaborated_with","{""id"":920,""type"":""collaborated_with"",""start"":365,""end"":251,""properties"":{""notes"":""""}}"
"368","369","located_in","{""id"":922,""type"":""located_in"",""start"":368,""end"":369,""properties"":{}}"
"372","13","participant","{""id"":926,""type"":""participant"",""start"":372,""end"":13,""properties"":{}}"
"373","368","located_in","{""id"":928,""type"":""located_in"",""start"":373,""end"":368,""properties"":{""notes"":""""}}"
"375","272","employer","{""id"":243,""type"":""employer"",""start"":375,""end"":272,""properties"":{}}"
"375","99","member_of","{""id"":930,""type"":""member_of"",""start"":375,""end"":99,""properties"":{}}"
"377","378","located_in","{""id"":16,""type"":""located_in"",""start"":377,""end"":378,""properties"":{}}"
"377","33","point_in_time","{""id"":931,""type"":""point_in_time"",""start"":377,""end"":33,""properties"":{}}"
"377","380","participant","{""id"":932,""type"":""participant"",""start"":377,""end"":380,""properties"":{}}"
"380","205","employer","{""id"":244,""type"":""employer"",""start"":380,""end"":205,""properties"":{}}"
"384","65","located_in","{""id"":938,""type"":""located_in"",""start"":384,""end"":65,""properties"":{}}"
"384","192","point_in_time","{""id"":937,""type"":""point_in_time"",""start"":384,""end"":192,""properties"":{}}"
"385","386","point_in_time","{""id"":939,""type"":""point_in_time"",""start"":385,""end"":386,""properties"":{""notes"":""""}}"
"391","501","participant","{""id"":940,""type"":""participant"",""start"":391,""end"":501,""properties"":{""notes"":""""}}"
"393","394","located_in","{""id"":17,""type"":""located_in"",""start"":393,""end"":394,""properties"":{}}"
"396","55","has_part","{""id"":942,""type"":""has_part"",""start"":396,""end"":55,""properties"":{}}"
"398","394","located_in","{""id"":18,""type"":""located_in"",""start"":398,""end"":394,""properties"":{}}"
"404","124","employer","{""id"":245,""type"":""employer"",""start"":404,""end"":124,""properties"":{}}"
"404","34","employer","{""id"":246,""type"":""employer"",""start"":404,""end"":34,""properties"":{}}"
"404","114","developer","{""id"":949,""type"":""developer"",""start"":404,""end"":114,""properties"":{}}"
"404","405","has_part","{""id"":947,""type"":""has_part"",""start"":404,""end"":405,""properties"":{}}"
"405","410","follows","{""id"":69,""type"":""follows"",""start"":405,""end"":410,""properties"":{}}"
"408","407","located_in","{""id"":953,""type"":""located_in"",""start"":408,""end"":407,""properties"":{""notes"":""""}}"
"408","401","located_in","{""id"":952,""type"":""located_in"",""start"":408,""end"":401,""properties"":{}}"
"410","409","founded_by","{""id"":4,""type"":""founded_by"",""start"":410,""end"":409,""properties"":{}}"
"410","467","main_subject","{""id"":956,""type"":""main_subject"",""start"":410,""end"":467,""properties"":{}}"
"411","29","participant","{""id"":963,""type"":""participant"",""start"":411,""end"":29,""properties"":{}}"
"411","467","field_of_work","{""id"":960,""type"":""field_of_work"",""start"":411,""end"":467,""properties"":{}}"
"411","10","collaborated_with","{""id"":962,""type"":""collaborated_with"",""start"":411,""end"":10,""properties"":{}}"
"411","31","has_part","{""id"":961,""type"":""has_part"",""start"":411,""end"":31,""properties"":{}}"
"411","425","studies","{""id"":959,""type"":""studies"",""start"":411,""end"":425,""properties"":{}}"
"413","260","located_in","{""id"":964,""type"":""located_in"",""start"":413,""end"":260,""properties"":{}}"
"413","211","subsidiary","{""id"":965,""type"":""subsidiary"",""start"":413,""end"":211,""properties"":{}}"
"415","480","employer","{""id"":247,""type"":""employer"",""start"":415,""end"":480,""properties"":{}}"
"415","26","employer","{""id"":248,""type"":""employer"",""start"":415,""end"":26,""properties"":{}}"
"415","139","author","{""id"":970,""type"":""author"",""start"":415,""end"":139,""properties"":{}}"
"415","10","collaborated_with","{""id"":972,""type"":""collaborated_with"",""start"":415,""end"":10,""properties"":{}}"
"415","125","participant","{""id"":973,""type"":""participant"",""start"":415,""end"":125,""properties"":{""notes"":""apparently, He knew of everything before story even got out""}}"
"415","462","collaborated_with","{""id"":966,""type"":""collaborated_with"",""start"":415,""end"":462,""properties"":{}}"
"415","29","participant","{""id"":968,""type"":""participant"",""start"":415,""end"":29,""properties"":{}}"
"415","525","member_of","{""id"":971,""type"":""member_of"",""start"":415,""end"":525,""properties"":{}}"
"415","527","member_of","{""id"":976,""type"":""member_of"",""start"":415,""end"":527,""properties"":{}}"
"415","291","field_of_work","{""id"":975,""type"":""field_of_work"",""start"":415,""end"":291,""properties"":{""notes"":""post retirement work @ Los Alamos""}}"
"415","81","member_of","{""id"":969,""type"":""member_of"",""start"":415,""end"":81,""properties"":{}}"
"415","94","field_of_work","{""id"":974,""type"":""field_of_work"",""start"":415,""end"":94,""properties"":{}}"
"415","121","member_of","{""id"":967,""type"":""member_of"",""start"":415,""end"":121,""properties"":{}}"
"416","417","main_subject","{""id"":979,""type"":""main_subject"",""start"":416,""end"":417,""properties"":{""notes"":""""}}"
"416","431","participant","{""id"":978,""type"":""participant"",""start"":416,""end"":431,""properties"":{""notes"":""""}}"
"419","377","has_part","{""id"":981,""type"":""has_part"",""start"":419,""end"":377,""properties"":{}}"
"420","188","employer","{""id"":249,""type"":""employer"",""start"":420,""end"":188,""properties"":{}}"
"420","155","author","{""id"":157,""type"":""author"",""start"":420,""end"":155,""properties"":{}}"
"420","269","developer","{""id"":152,""type"":""developer"",""start"":420,""end"":269,""properties"":{}}"
"420","431","studies","{""id"":49,""type"":""studies"",""start"":420,""end"":431,""properties"":{}}"
"420","114","has_part","{""id"":0,""type"":""has_part"",""start"":420,""end"":114,""properties"":{}}"
"420","156","studies","{""id"":990,""type"":""studies"",""start"":420,""end"":156,""properties"":{}}"
"420","146","has_part","{""id"":993,""type"":""has_part"",""start"":420,""end"":146,""properties"":{}}"
"420","187","collaborated_with","{""id"":985,""type"":""collaborated_with"",""start"":420,""end"":187,""properties"":{}}"
"420","444","studies","{""id"":987,""type"":""studies"",""start"":420,""end"":444,""properties"":{}}"
"420","449","has_part","{""id"":995,""type"":""has_part"",""start"":420,""end"":449,""properties"":{}}"
"420","492","collaborated_with","{""id"":984,""type"":""collaborated_with"",""start"":420,""end"":492,""properties"":{}}"
"420","160","main_subject","{""id"":989,""type"":""main_subject"",""start"":420,""end"":160,""properties"":{}}"
"420","425","studies","{""id"":991,""type"":""studies"",""start"":420,""end"":425,""properties"":{}}"
"420","99","has_part","{""id"":996,""type"":""has_part"",""start"":420,""end"":99,""properties"":{}}"
"420","424","collaborated_with","{""id"":992,""type"":""collaborated_with"",""start"":420,""end"":424,""properties"":{}}"
"420","432","member_of","{""id"":988,""type"":""member_of"",""start"":420,""end"":432,""properties"":{}}"
"420","9","field_of_work","{""id"":983,""type"":""field_of_work"",""start"":420,""end"":9,""properties"":{}}"
"420","467","studies","{""id"":986,""type"":""studies"",""start"":420,""end"":467,""properties"":{}}"
"420","115","collaborated_with","{""id"":994,""type"":""collaborated_with"",""start"":420,""end"":115,""properties"":{}}"
"420","410","member_of","{""id"":997,""type"":""member_of"",""start"":420,""end"":410,""properties"":{}}"
"421","262","developer","{""id"":289,""type"":""developer"",""start"":421,""end"":262,""properties"":{}}"
"421","11","employer","{""id"":287,""type"":""employer"",""start"":421,""end"":11,""properties"":{""end_date"":""1955"",""start_date"":""1951""}}"
"421","115","collaborated_with","{""id"":999,""type"":""collaborated_with"",""start"":421,""end"":115,""properties"":{}}"
"422","423","located_in","{""id"":1002,""type"":""located_in"",""start"":422,""end"":423,""properties"":{""notes"":""""}}"
"424","71","employer","{""id"":250,""type"":""employer"",""start"":424,""end"":71,""properties"":{}}"
"426","333","located_in","{""id"":1004,""type"":""located_in"",""start"":426,""end"":333,""properties"":{""notes"":""""}}"
"427","39","located_in","{""id"":1005,""type"":""located_in"",""start"":427,""end"":39,""properties"":{}}"
"431","211","employer","{""id"":251,""type"":""employer"",""start"":431,""end"":211,""properties"":{}}"
"431","448","participant","{""id"":1012,""type"":""participant"",""start"":431,""end"":448,""properties"":{}}"
"431","9","has_part","{""id"":1009,""type"":""has_part"",""start"":431,""end"":9,""properties"":{}}"
"431","7","participant","{""id"":1010,""type"":""participant"",""start"":431,""end"":7,""properties"":{}}"
"432","415","founded_by","{""id"":1013,""type"":""founded_by"",""start"":432,""end"":415,""properties"":{}}"
"435","442","has_part","{""id"":300,""type"":""has_part"",""start"":435,""end"":442,""properties"":{}}"
"437","444","studies","{""id"":51,""type"":""studies"",""start"":437,""end"":444,""properties"":{}}"
"437","444","studies","{""id"":1016,""type"":""studies"",""start"":437,""end"":444,""properties"":{""notes"":""""}}"
"439","438","studies","{""id"":50,""type"":""studies"",""start"":439,""end"":438,""properties"":{}}"
"442","438","instance_of","{""id"":1020,""type"":""instance_of"",""start"":442,""end"":438,""properties"":{""notes"":""""}}"
"443","435","main_subject","{""id"":1021,""type"":""main_subject"",""start"":443,""end"":435,""properties"":{""notes"":""""}}"
"447","448","author","{""id"":167,""type"":""author"",""start"":447,""end"":448,""properties"":{}}"
"447","446","author","{""id"":166,""type"":""author"",""start"":447,""end"":446,""properties"":{}}"
"448","427","located_in","{""id"":1024,""type"":""located_in"",""start"":448,""end"":427,""properties"":{}}"
"449","421","founded_by","{""id"":1026,""type"":""founded_by"",""start"":449,""end"":421,""properties"":{}}"
"451","467","instance_of","{""id"":1029,""type"":""instance_of"",""start"":451,""end"":467,""properties"":{}}"
"451","204","instance_of","{""id"":1030,""type"":""instance_of"",""start"":451,""end"":204,""properties"":{}}"
"453","188","employer","{""id"":252,""type"":""employer"",""start"":453,""end"":188,""properties"":{}}"
"453","9","has_part","{""id"":1032,""type"":""has_part"",""start"":453,""end"":9,""properties"":{}}"
"454","453","founded_by","{""id"":1034,""type"":""founded_by"",""start"":454,""end"":453,""properties"":{""notes"":""""}}"
"461","188","employer","{""id"":253,""type"":""employer"",""start"":461,""end"":188,""properties"":{}}"
"461","115","collaborated_with","{""id"":1039,""type"":""collaborated_with"",""start"":461,""end"":115,""properties"":{}}"
"462","142","has_part","{""id"":52,""type"":""has_part"",""start"":462,""end"":142,""properties"":{}}"
"462","9","studies","{""id"":1042,""type"":""studies"",""start"":462,""end"":9,""properties"":{}}"
"462","390","studies","{""id"":1041,""type"":""studies"",""start"":462,""end"":390,""properties"":{}}"
"462","410","has_part","{""id"":1044,""type"":""has_part"",""start"":462,""end"":410,""properties"":{}}"
"462","405","part_of","{""id"":1043,""type"":""part_of"",""start"":462,""end"":405,""properties"":{}}"
"464","465","position_held","{""id"":1045,""type"":""position_held"",""start"":464,""end"":465,""properties"":{""notes"":""""}}"
"465","88","has_part","{""id"":55,""type"":""has_part"",""start"":465,""end"":88,""properties"":{}}"
"466","465","position_held","{""id"":1046,""type"":""position_held"",""start"":466,""end"":465,""properties"":{""notes"":""""}}"
"467","143","field_of_work","{""id"":58,""type"":""field_of_work"",""start"":467,""end"":143,""properties"":{}}"
"467","156","facet_of","{""id"":1047,""type"":""facet_of"",""start"":467,""end"":156,""properties"":{}}"
"471","9","field_of_work","{""id"":1049,""type"":""field_of_work"",""start"":471,""end"":9,""properties"":{}}"
"471","444","studies","{""id"":1050,""type"":""studies"",""start"":471,""end"":444,""properties"":{}}"
"471","420","influenced_by","{""id"":1051,""type"":""influenced_by"",""start"":471,""end"":420,""properties"":{""notes"":""""}}"
"472","417","developer","{""id"":283,""type"":""developer"",""start"":472,""end"":417,""properties"":{}}"
"472","416","facet_of","{""id"":1052,""type"":""facet_of"",""start"":472,""end"":416,""properties"":{}}"
"481","480","subsidiary","{""id"":1060,""type"":""subsidiary"",""start"":481,""end"":480,""properties"":{""notes"":""""}}"
"482","480","subsidiary","{""id"":1063,""type"":""subsidiary"",""start"":482,""end"":480,""properties"":{""notes"":""""}}"
"483","207","collaborated_with","{""id"":1064,""type"":""collaborated_with"",""start"":483,""end"":207,""properties"":{}}"
"483","71","collaborated_with","{""id"":1065,""type"":""collaborated_with"",""start"":483,""end"":71,""properties"":{}}"
"483","410","follows","{""id"":1066,""type"":""follows"",""start"":483,""end"":410,""properties"":{}}"
"483","525","subsidiary","{""id"":1068,""type"":""subsidiary"",""start"":483,""end"":525,""properties"":{}}"
"483","526","founded_by","{""id"":1067,""type"":""founded_by"",""start"":483,""end"":526,""properties"":{}}"
"487","480","facet_of","{""id"":1069,""type"":""facet_of"",""start"":487,""end"":480,""properties"":{""notes"":""""}}"
"492","345","author","{""id"":165,""type"":""author"",""start"":492,""end"":345,""properties"":{}}"
"492","228","author","{""id"":162,""type"":""author"",""start"":492,""end"":228,""properties"":{}}"
"492","72","author","{""id"":135,""type"":""author"",""start"":492,""end"":72,""properties"":{}}"
"492","91","author","{""id"":136,""type"":""author"",""start"":492,""end"":91,""properties"":{}}"
"492","523","author","{""id"":169,""type"":""author"",""start"":492,""end"":523,""properties"":{}}"
"492","321","author","{""id"":164,""type"":""author"",""start"":492,""end"":321,""properties"":{}}"
"492","410","has_part","{""id"":1073,""type"":""has_part"",""start"":492,""end"":410,""properties"":{}}"
"492","462","collaborated_with","{""id"":1072,""type"":""collaborated_with"",""start"":492,""end"":462,""properties"":{}}"
"493","494","employer","{""id"":254,""type"":""employer"",""start"":493,""end"":494,""properties"":{}}"
"494","493","founded_by","{""id"":1075,""type"":""founded_by"",""start"":494,""end"":493,""properties"":{""notes"":""""}}"
"495","496","position_held","{""id"":1076,""type"":""position_held"",""start"":495,""end"":496,""properties"":{""notes"":""""}}"
"501","365","inception_date","{""id"":30,""type"":""inception_date"",""start"":501,""end"":365,""properties"":{}}"
"501","33","point_in_time","{""id"":1080,""type"":""point_in_time"",""start"":501,""end"":33,""properties"":{""notes"":""""}}"
"501","497","main_subject","{""id"":1077,""type"":""main_subject"",""start"":501,""end"":497,""properties"":{""notes"":""""}}"
"501","18","influenced_by","{""id"":1079,""type"":""influenced_by"",""start"":501,""end"":18,""properties"":{""notes"":""""}}"
"504","505","located_in","{""id"":1082,""type"":""located_in"",""start"":504,""end"":505,""properties"":{""notes"":""""}}"
"506","507","located_in","{""id"":1083,""type"":""located_in"",""start"":506,""end"":507,""properties"":{""notes"":""""}}"
"507","333","located_in","{""id"":87,""type"":""located_in"",""start"":507,""end"":333,""properties"":{}}"
"508","299","employer","{""id"":255,""type"":""employer"",""start"":508,""end"":299,""properties"":{}}"
"508","304","member_of","{""id"":107,""type"":""member_of"",""start"":508,""end"":304,""properties"":{}}"
"508","180","member_of","{""id"":106,""type"":""member_of"",""start"":508,""end"":180,""properties"":{}}"
"508","16","collaborated_with","{""id"":88,""type"":""collaborated_with"",""start"":508,""end"":16,""properties"":{}}"
"508","503","member_of","{""id"":83,""type"":""member_of"",""start"":508,""end"":503,""properties"":{}}"
"511","109","point_in_time","{""id"":1085,""type"":""point_in_time"",""start"":511,""end"":109,""properties"":{""notes"":""""}}"
"513","165","employer","{""id"":256,""type"":""employer"",""start"":513,""end"":165,""properties"":{}}"
"513","299","employer","{""id"":257,""type"":""employer"",""start"":513,""end"":299,""properties"":{}}"
"513","503","member_of","{""id"":82,""type"":""member_of"",""start"":513,""end"":503,""properties"":{}}"
"517","299","employer","{""id"":258,""type"":""employer"",""start"":517,""end"":299,""properties"":{}}"
